,Instrument,Enterprise Value to EBIT,Enterprise Value to EBITDA,Enterprise Value To Sales (Daily Time Series Ratio),Price / EPS (SmartEstimate Â®),Price To Book Value Per Share (Daily Time Series Ratio),Price To Cash Flow Per Share (Daily Time Series Ratio),TR.PRICECLOSE/TR.FreeOperatingCashFlowperShareAvgDilutedSharesOut,TR.ROATOTALASSETSPERCENT/100,TR.GROSSMARGIN/100,TR.NETINCOME/TR.Revenue,TR.LTDEBTTOTTLEQTYPCT/100,TR.LTDEBTTOTTLCAPITALPCT/100,Interest Coverage Ratio,PERATIO
2,TGT.N,23.3717048872969,13.8307911897309,0.826247139198406,19.3776864706006,6.7883961296681,18.9771248953037,-23.0030666466012,0.051891811174,0.2464351,0.025476539589443,1.425302706553,0.584889116218,57.5588235294,26.7852
3,BBY.N,9.36730493909372,6.36059657053147,0.353545289969113,12.5977382979614,6.10758032198324,9.35660078672699,168.243228563593,0.08514726634,0.2140913,0.030649272106786,0.415026833631,0.292117854445,55.4857142857,11.9562
4,COST.OQ,29.4280818527595,23.7290343020263,0.90974657651073,34.150431803264,9.66862720452086,23.1099633002989,110.327713723359,0.095840692192,0.1214872,0.025749711395261,0.381116170914,0.27285654828,50.0696202532,36.1147
6,M.N,4.99896816423306,3.31164413243009,0.272582491570836,4.58437851396938,1.16264367956699,2.93913309547988,33.4451632634632,0.068319015556,0.3951393,0.046512546927485,0.737628613425,0.424383368569,9.6114285714,4.1681
7,JWN.N,9.56643364485981,4.49345215100966,0.307467151024535,8.39092315626612,3.52479972938103,2.75439470217759,7.45018926543234,0.027818780515,0.3548616,0.01577591757888,3.864682002706,0.794436717663,3.8768115942,10.3016
10,GOOGL.OQ,13.9793283183239,11.5261580240385,4.35347151706289,20.4479103627321,5.203427642274,14.5195924367452,22.7459268457154,0.165546863355,0.5537944,0.21203807153262,0.057393497408,0.054218622646,209.6414565826,22.152
16,ABNB.OQ,24.5910360372819,23.4821234896228,8.4417507624241,36.4992415551494,14.3194244604316,22.897161706589,24.8434654918069,0.127275589033,0.697583,0.225383974282653,0.357374100719,0.263283423877,78.2916666667,43.8132
22,NFLX.OQ,24.7694751130861,6.9776327430658,5.12890106838186,30.1446503454402,7.40508428143825,75.9323245632118,96.3292999566273,0.088494809547,0.3937071,0.142079577929215,0.690802280805,0.408564791193,7.9761190691,37.0367
23,AAPL.OQ,20.8497301787553,19.0762229748508,6.88655249795503,27.4944227505094,46.0523721387764,23.8944857166407,27.8682382674421,0.283629150403,0.4330963,0.253096407051997,1.96895721503,0.581138383756,40.7495735244,27.5329
27,MSFT.OQ,22.5094458102971,19.1554159394997,10.3395521601022,30.728171327408,11.7233646033401,25.4313340905352,46.2369081549351,0.208233672431,0.6840167,0.366863368134362,0.36551740702,0.263267380257,40.4183228308,31.5803
29,BABA.N,17.6076361821763,11.7136538221327,1.88805808157054,12.9786189230323,1.90074344501017,11.5172483326178,3.11147154358224,0.01933680689,0.3685043,0.072631297607911,0.138292764895,0.108295049516,32.0755754736,46.639
32,WMT.N,17.5833179944953,12.1580814639016,0.721049237465176,24.0947908189778,5.17756314134993,13.7815771755782,68.6760306635529,0.046273283653,0.2414046,0.019107165350595,0.514936174097,0.307060717035,11.5263157895,34.0871
34,TRIP.OQ,22.08015942,11.6831911494175,1.79527964747989,16.7566655416807,3.24880352057077,6.99889308510001,8.42895348823488,0.008233841087,0.922252,0.013404825737265,1.038327526132,0.507666098807,2.085106383,147.709
36,KR.N,10.6320457796853,6.22863528425758,0.322116661865397,10.9906011104136,3.52010754829827,7.87491597484215,48.6341327914597,0.04556828658,0.2212899,0.015135776821487,1.201752638917,0.515902872777,7.9028037383,16.0371
37,DG.N,17.7574589806005,14.5833312341543,1.39362092734805,18.7177546520904,8.32095551748777,23.2362267961432,-682.787358607645,0.08720291724,0.3123303,0.063839285136268,1.264829913609,0.55846573997,15.7635003053,19.4536
39,EA.OQ,29.3010469545826,21.2999561143529,4.38616157492205,20.025969750727,4.38667063964747,23.9874465782135,22.6934782608367,0.058254577673,0.7356601,0.112859390645115,0.246295081967,0.197621803641,20.2413793103,32.1501
44,JD.OQ,25.9348202192483,25.9348202192483,0.342741489348711,15.0494876306387,2.20625752047901,8.23497115823581,1.20733746692163,0.017753034787,0.1405734,0.00992127971127,0.141695490378,0.095522303177,10.4729344729,47.1628
46,CRM.N,89.8030139935414,29.5630758327427,6.33656545036999,27.9725567068048,3.45410339450445,28.0945014765856,31.5508728019744,0.002143689,0.7333503,0.0066343454963,0.170547816104,0.14269329472,6.4738675958,952.9349
48,BIDU.OQ,12.5594446849943,5.55189142759279,2.31582700337451,15.1634509662009,1.62126911658711,13.8457357524778,2.9809183214281,0.019543272629,0.5461168,0.056341216899131,0.282725816411,0.196501212913,5.4624098867,53.9855
