,Instrument,Enterprise Value to EBIT,Enterprise Value to EBITDA,Enterprise Value To Sales (Daily Time Series Ratio),Price / EPS (SmartEstimate Â®),Price To Book Value Per Share (Daily Time Series Ratio),Price To Cash Flow Per Share (Daily Time Series Ratio),TR.PRICECLOSE/TR.FreeOperatingCashFlowperShareAvgDilutedSharesOut,TR.ROATOTALASSETSPERCENT/100,TR.GROSSMARGIN/100,TR.NETINCOME/TR.Revenue,TR.LTDEBTTOTTLEQTYPCT/100,TR.LTDEBTTOTTLCAPITALPCT/100,Interest Coverage Ratio
1,AMZN.OQ,71.8330299464402,16.2419640529454,2.09523361726075,75.7646886231937,7.24373081902188,22.6394477305897,-62.2992843185301,-0.006156988488,0.4380534,-0.005295895000418,0.583636326287,0.363411556041,5.1744824673
3,NFLX.OQ,24.7694751130861,6.9776327430658,5.12890106838186,30.1446503454402,7.40508428143825,75.9323245632118,96.3292999566273,0.088494809547,0.3937071,0.142079577929215,0.690802280805,0.408564791193,7.9761190691
4,EBAY.OQ,8.92620146826622,7.64126151863709,2.57859909263298,10.7218717000099,4.64106928003645,10.5684907330701,18.8134194526331,-0.053669222344,0.726391,-0.129555895865237,1.498350475451,0.55055618939,11.4127659574
5,MSFT.OQ,22.5094458102971,19.1554159394997,10.3395521601022,30.728171327408,11.7233646033401,25.4313340905352,46.2369081549351,0.208233672431,0.6840167,0.366863368134362,0.36551740702,0.263267380257,40.4183228308
6,AAPL.OQ,20.8497301787553,19.0762229748508,6.88655249795503,27.4944227505094,46.0523721387764,23.8944857166407,27.8682382674421,0.283629150403,0.4330963,0.253096407051997,1.96895721503,0.581138383756,40.7495735244
7,BABA.N,17.6076361821763,11.7136538221327,1.88805808157054,12.9786189230323,1.90074344501017,11.5172483326178,3.11147154358224,0.01933680689,0.3685043,0.072631297607911,0.138292764895,0.108295049516,32.0755754736
8,BIDU.OQ,12.5594446849943,5.55189142759279,2.31582700337451,15.1634509662009,1.62126911658711,13.8457357524778,2.9809183214281,0.019543272629,0.5461168,0.056341216899131,0.282725816411,0.196501212913,5.4624098867
9,CRTO.OQ,47.4647846379438,10.1711449781104,0.703566812151494,11.9588528914954,1.72139291125249,6.8716384585425,11.5501586023401,0.005020213573,0.3942483,0.004438268064053,7.0607925e-05,6.8429876e-05,23.4760493827
10,VZ.N,10.231250443983,6.5766828370963,2.28513499777053,8.28592734633003,1.79202810340777,4.39765885194072,-404.687029609211,0.058284066485,0.5678518,0.155340373442467,1.543447731063,0.578670681442,8.5167450872
11,T.N,11.6123618154698,6.56809694836812,2.30650731731558,7.90100147758989,1.40724247964527,4.2848577584861,54.3520488513889,-0.014403729799,0.5788672,-0.070597394422773,1.317158974359,0.529629614355,3.8416830386
18,ABNB.OQ,24.5910360372819,23.4821234896228,8.4417507624241,36.4992415551494,14.3194244604316,22.897161706589,24.8434654918069,0.127275589033,0.697583,0.225383974282653,0.357374100719,0.263283423877,78.2916666667
21,EXPE.OQ,14.478183967704,8.68983378980313,1.57884536281992,10.594807310559,6.51456784932901,4.32540373488954,5.64963985962407,0.015913150386,0.8579755,0.030170566555241,2.733245729304,0.626003210273,4.2924187726
32,EA.OQ,29.3010469545826,21.2999561143529,4.38616157492205,20.025969750727,4.38667063964747,23.9874465782135,22.6934782608367,0.058254577673,0.7356601,0.112859390645115,0.246295081967,0.197621803641,20.2413793103
34,TRIP.OQ,22.08015942,11.6831911494175,1.79527964747989,16.7566655416807,3.24880352057077,6.99889308510001,8.42895348823488,0.008233841087,0.922252,0.013404825737265,1.038327526132,0.507666098807,2.085106383
36,TRVG.OQ,1.59983295478949,1.49333026590238,0.341224358690977,7.93542465908448,0.847623077011313,7.18507268662263,8.66727685711587,-0.166196298959,0.9762787,-0.23778887634485,0.0,0.0,1685.8823529412
37,DV.N,56.8492293053673,35.9442637599623,10.4455560010875,91.1068806091923,5.68771324696267,52.6126958624106,93.8077522351216,0.044855387301,0.8278893,0.095637220446578,0.000888398249,0.000885746642,71.7723756906
39,JD.OQ,25.9348202192483,25.9348202192483,0.342741489348711,15.0494876306387,2.20625752047901,8.23497115823581,1.20733746692163,0.017753034787,0.1405734,0.00992127971127,0.141695490378,0.095522303177,10.4729344729
40,DIS.N,32.8627017594458,18.5786296878685,2.7904307011729,23.8153000161734,1.85474139096498,34.9280518692973,171.450337380472,0.017449170023,0.3423636,0.038018906699548,0.479096497137,0.289918027044,4.3679793415
42,CRM.N,89.8030139935414,29.5630758327427,6.33656545036999,27.9725567068048,3.45410339450445,28.0945014765856,31.5508728019744,0.002143689,0.7333503,0.0066343454963,0.170547816104,0.14269329472,6.4738675958
44,TTWO.OQ,27.8585015824091,18.4199318733495,4.56769204521004,33.5550649021897,2.10483854079565,73.2745302094143,140.235323434954,0.066487589067,0.5820617,0.119271285094727,0.0,0.0,29.2599849689
